Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.50,-.22,-.29,-.05,-.15,-.17,-.25,-.22,-.31,-.42,-.39,-.28,***,***,-.19,-.19,-.32
1881,-.30,-.22,-.03,.01,.05,-.31,.10,-.02,-.25,-.42,-.35,-.22,-.16,-.18,-.30,.01,-.08,-.34
1882,.28,.23,.03,-.30,-.23,-.28,-.26,-.13,-.23,-.51,-.32,-.66,-.20,-.16,.10,-.17,-.22,-.35
1883,-.56,-.65,-.15,-.28,-.23,-.12,-.02,-.21,-.31,-.15,-.41,-.15,-.27,-.31,-.63,-.22,-.12,-.29
1884,-.17,-.12,-.64,-.60,-.37,-.41,-.45,-.50,-.45,-.44,-.56,-.47,-.43,-.41,-.15,-.54,-.45,-.48
1885,-1.00,-.44,-.22,-.48,-.57,-.44,-.32,-.39,-.38,-.35,-.37,-.10,-.42,-.45,-.64,-.42,-.38,-.37
1886,-.73,-.83,-.71,-.36,-.32,-.36,-.13,-.42,-.32,-.30,-.38,-.21,-.42,-.41,-.55,-.46,-.30,-.33
1887,-1.07,-.69,-.42,-.36,-.24,-.19,-.23,-.53,-.19,-.47,-.26,-.42,-.42,-.40,-.65,-.34,-.31,-.31
1888,-.47,-.59,-.62,-.20,-.14,-.02,.01,-.20,-.18,-.02,.00,-.22,-.22,-.24,-.49,-.32,-.07,-.07
1889,-.25,.31,-.02,.17,-.02,-.05,-.07,-.20,-.29,-.41,-.61,-.53,-.16,-.14,-.05,.04,-.11,-.44
1890,-.62,-.56,-.46,-.23,-.34,-.15,-.22,-.38,-.34,-.09,-.61,-.45,-.37,-.38,-.57,-.35,-.25,-.35
1891,-.46,-.68,-.16,-.35,-.15,-.12,-.11,-.12,-.07,-.28,-.52,-.03,-.26,-.29,-.53,-.22,-.12,-.29
1892,-.49,-.16,-.67,-.45,-.23,-.05,-.37,-.32,-.19,-.27,-.82,-.65,-.39,-.34,-.23,-.45,-.25,-.43
1893,-1.51,-.96,-.32,-.29,-.43,-.18,-.13,-.33,-.28,-.28,-.34,-.60,-.47,-.48,-1.04,-.35,-.22,-.30
1894,-.91,-.41,-.20,-.53,-.25,-.40,-.20,-.26,-.32,-.27,-.47,-.35,-.38,-.40,-.64,-.33,-.28,-.35
1895,-.69,-.80,-.49,-.17,-.29,-.19,-.17,-.26,-.05,-.08,-.12,-.22,-.29,-.30,-.61,-.31,-.21,-.08
1896,-.35,-.18,-.49,-.60,-.16,.08,.00,-.11,-.13,.06,-.20,-.21,-.19,-.19,-.25,-.42,-.01,-.09
